AccX	AccY	AccZ	OriW	OriX	OriY	OriZ
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
0.004	 0.009	 1.032	 0.006	 0.077	 0.996	 -0.007
